#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        rand.bin|  3.78e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.00058057|   WEAK   
      rgb_lagged_sum|  21|   1000000|     100|0.02961965|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.00043211|   WEAK   
      rgb_lagged_sum|  23|   1000000|     100|0.01181967|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.06256210|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.00002863|   WEAK   
      rgb_lagged_sum|  27|   1000000|     100|0.32868313|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.00031621|   WEAK   
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.00991129|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.00000219|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.39390912|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.62459833|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.28164494|  PASSED  
        dab_filltree|  32|  15000000|       1|0.05307850|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
